wormbase_id
WBGene00006375
WBGene00018819
WBGene00007694
WBGene00000517
WBGene00010585
WBGene00016360
WBGene00021201
WBGene00001118
WBGene00022696
WBGene00000492
WBGene00001119
WBGene00001122
WBGene00003884
WBGene00012673
WBGene00018051
WBGene00019536
WBGene00022435
WBGene00004855
WBGene00011978
WBGene00000399
WBGene00022500
WBGene00000523
WBGene00000526
WBGene00010742
WBGene00002129
WBGene00002131
WBGene00002133
WBGene00004212
WBGene00017078
WBGene00007335
WBGene00007563
WBGene00008423
WBGene00009324
WBGene00016388
WBGene00016513
WBGene00018839
WBGene00019561
WBGene00019562
WBGene00022707
WBGene00006533
WBGene00016321
WBGene00016866
WBGene00002217
WBGene00000073
WBGene00006649
WBGene00010593
WBGene00013955
WBGene00016172
WBGene00017013
WBGene00017644
WBGene00019827
WBGene00020858
WBGene00000415
WBGene00000787
WBGene00003588
WBGene00004144
WBGene00011124
WBGene00011325
WBGene00013039
WBGene00015776
WBGene00016719
WBGene00018926
WBGene00004965
WBGene00016260
WBGene00018704
WBGene00020577
WBGene00006331
WBGene00000149
WBGene00000872
WBGene00001182
WBGene00003916
WBGene00004751
WBGene00006561
WBGene00007131
WBGene00010546
WBGene00015330
WBGene00016330
WBGene00007056
WBGene00012239
WBGene00004322
WBGene00013792
WBGene00022296
WBGene00019859
WBGene00021344
WBGene00004053
WBGene00011966
WBGene00003504
WBGene00000503
WBGene00007472
WBGene00007473
WBGene00010945
WBGene00017233
WBGene00019980
WBGene00020407
WBGene00000594
WBGene00000599
WBGene00000608
WBGene00000613
WBGene00000616
WBGene00000617
WBGene00000618
WBGene00000620
WBGene00000622
WBGene00000627
WBGene00000628
WBGene00000638
WBGene00000652
WBGene00000656
WBGene00000657
WBGene00000660
WBGene00000667
WBGene00000668
WBGene00000669
WBGene00000670
WBGene00000671
WBGene00000673
WBGene00000677
WBGene00000680
WBGene00000691
WBGene00000696
WBGene00000698
WBGene00000703
WBGene00000712
WBGene00000713
WBGene00000714
WBGene00000715
WBGene00000717
WBGene00000719
WBGene00000723
WBGene00000731
WBGene00000733
WBGene00000739
WBGene00000749
WBGene00000754
WBGene00000756
WBGene00000757
WBGene00001075
WBGene00006592
WBGene00013489
WBGene00021343
WBGene00000853
WBGene00001063
WBGene00008978
WBGene00011104
WBGene00013180
WBGene00015231
WBGene00021396
WBGene00002264
WBGene00002267
WBGene00002268
WBGene00002269
WBGene00002270
WBGene00004165
WBGene00008284
WBGene00018255
WBGene00002272
WBGene00006635
WBGene00006982
WBGene00008493
WBGene00008494
WBGene00013194
WBGene00013972
WBGene00016269
WBGene00016539
WBGene00016540
